"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"83","Critical staffing shortage at NC Department of Environmental Quality","<a href='https://www.wral.com/critical-staffing-shortage-at-nc-department-of-environmental-quality/20578484/' target='_blank'>Link to Article</a>","2022-11-15","www.wral.com","Nearly one in five NCDEQ positions are vacant, limiting the agency's ability to protect the state's water, air, and soil. Lack of funding is a major factor, with some DEQ salaries as much as $15,000 below the industry average.","Liz McLaughlin",""
"84","NC State researchers take aim at textile waste","<a href='https://www.wral.com/story/nc-state-researchers-take-aim-at-textile-waste/20785261/' target='_blank'>Link to Article</a>","2023-03-28","www.wral.com","NC State researchers have developed a way to separate cotton and polyester blend textiles using enzymes. The method could make it easier to recycle textiles, a waste stream that contributes an estimated 50 million tons to landfills across the globe each year.","Liz McLaughlin",""
"86","How will offshore wind development impact North Carolina's coast?","<a href='https://www.wral.com/story/how-will-offshore-wind-development-impact-north-carolina-s-coast/20774934/' target='_blank'>Link to Article</a>","2023-03-22","www.wral.com","There's a hot debate about the potential impacts of offshore wind development in the state. Many coastal residents came to an open house in Brunswick County Tuesday to voice their concerns after presentations from industry experts, academics, and government officials about the potential benefits and challenges of offshore wind.","Liz McLaughlin",""
"87","Food waste contributes to climate change","<a href='https://www.wral.com/food-waste-contributes-to-climate-change/20584940/' target='_blank'>Link to Article</a>","2022-11-18","www.wral.com","Did you know 40% of food ends up in a landfill? WRAL's Liz McLaughlin explains how food waste is contributing to climate change.","Liz McLaughlin",""
"88","How domestic and local efforts measure up to landmark UN climate ...","<a href='https://www.wral.com/story/how-domestic-and-local-efforts-measure-up-to-landmark-un-climate-report/20773036/' target='_blank'>Link to Article</a>","2023-03-20","www.wral.com","The latest United Nations report finds the world is on the brink of catastrophic warming, but there's still a chance to change course if the planet's biggest polluters can take swift action to reduce greenhouse gas emissions.","Liz McLaughlin",""
"89","Could the end of free returns help the environment?","<a href='https://www.wral.com/could-the-end-of-free-returns-help-the-environment/20660296/' target='_blank'>Link to Article</a>","2023-01-06","www.wral.com","Returns have been growing year over year, creating millions of pounds of waste and needless emissions from shipping. Major retailers are starting to charge for returns, which could have a positive impact on the environment.","Liz McLaughlin",""
"90","Rise in taxes, gas price a double-whammy for your next fillup","<a href='https://www.wral.com/story/rise-in-taxes-gas-price-a-double-whammy-for-your-next-fillup/20653263/' target='_blank'>Link to Article</a>","2023-01-02","www.wral.com","On Jan. 2, AAA showed the average price of a tank of gas was back above $3 in Raleigh and across the state, about 10 cents higher than the week before. Meanwhile, the state is also tacking on an additional 2 cents per gallon, pushing that tax from 38.5 cents to 40.5 per gallon.","Liz McLaughlin",""
"92","Lighting upgrades in NC schools saves hundreds of thousands ...","<a href='https://www.wral.com/lighting-upgrades-in-nc-schools-saves-hundreds-of-thousands-annually/20677640/' target='_blank'>Link to Article</a>","2023-01-18","www.wral.com","Sixty-nine schools across the state received replacement high-efficiency lights thanks to funding from the DEQ and NC Greenpower. The upgrades will save an estimated $250,000 each year.","Liz McLaughlin",""
"93","Eco-anxiety: A looming mental health crisis","<a href='https://www.wral.com/story/eco-anxiety-a-looming-mental-health-crisis/20554764/' target='_blank'>Link to Article</a>","2022-11-03","www.wral.com","A growing number of Americans are suffering from climate change distress, called eco-anxiety. Young people and those on the front lines of environmental disasters are particularly at risk.","Liz McLaughlin",""
"94","Air pollution and climate change threaten North Carolinians' health","<a href='https://www.wral.com/story/air-pollution-and-climate-change-threaten-north-carolinians-health/20800401/' target='_blank'>Link to Article</a>","2023-04-06","www.wral.com","Experts and government officials explored ways to address air pollution, climate change, and health disparities at Thursday's NC BREATHE conference.","Liz McLaughlin",""
"95","Experts say trees need more diversity","<a href='https://www.wral.com/experts-say-trees-need-more-diversity/20665944/' target='_blank'>Link to Article</a>","2023-01-10","www.wral.com","North Carolina communities are anticipating an influx of federal funds to plant more trees in urban areas. WRAL climate reporter Liz McLaughlin reports on how not only does the state need more trees, but more tree diversity.","Liz McLaughlin",""
"96","Emotional baggage: Frustration boils over for travelers at RDU as ...","<a href='https://www.wral.com/story/giant-puzzle-southwest-to-significantly-reduce-flights-wont-be-on-track-for-several-days-at-least/20644771/' target='_blank'>Link to Article</a>","2022-12-26","www.wral.com","On Wednesday, the airline canceled more than 2,500 flights throughout the country, roughly more than 60 percent of all flights the company already scheduled. More than 2,300 flights have been canceled for Thursday.","Liz McLaughlin",""
